state,county,party,candidate,votes
IN,Fayette,Independent,Joseph Maldonado,0
IN,Fayette,Independent,G Mullis,0
IN,Fayette,Independent,Matthew Roberts,0
IN,Fayette,Socialist,Emidio Soltysik,0
IN,Floyd,Democratic,Hillary Clinton,13939
IN,Floyd,Libertarian,Gary Johnson,1859
IN,Floyd,Republican,Donald J. Trump,21427
IN,Floyd,Constitution,Darrell L Castle,0
IN,Floyd,Green,Jill Stein,0
IN,Floyd,Independent,Ray C Brown,0
IN,Floyd,Independent,Roque De La Fuente,0
IN,Floyd,Independent,Richard Duncan,0
IN,Floyd,Independent,Cherunda Fox,0
IN,Floyd,Independent,Tom Hoefling,0
IN,Floyd,Independent,Denny Carroll Jackson,0
IN,Floyd,Independent,Melissa L Kelly,0
IN,Floyd,Independent,Laurence Kotlikoff,0
IN,Floyd,Independent,Joseph Maldonado,0
IN,Floyd,Independent,G Mullis,0
IN,Floyd,Independent,Matthew Roberts,0
IN,Floyd,Socialist,Emidio Soltysik,0
IN,Fountain,Democratic,Hillary Clinton,1476
IN,Fountain,Libertarian,Gary Johnson,337
IN,Fountain,Republican,Donald J. Trump,5661
IN,Fountain,Constitution,Darrell L Castle,0
IN,Fountain,Green,Jill Stein,1
IN,Fountain,Independent,Ray C Brown,0
IN,Fountain,Independent,Roque De La Fuente,0
IN,Fountain,Independent,Richard Duncan,0
IN,Fountain,Independent,Cherunda Fox,0
IN,Fountain,Independent,Tom Hoefling,0
IN,Fountain,Independent,Denny Carroll Jackson,0
IN,Fountain,Independent,Melissa L Kelly,0
IN,Fountain,Independent,Laurence Kotlikoff,0
IN,Fountain,Independent,Joseph Maldonado,0
IN,Fountain,Independent,G Mullis,0
IN,Fountain,Independent,Matthew Roberts,0
IN,Fountain,Socialist,Emidio Soltysik,0
IN,Franklin,Democratic,Hillary Clinton,1967
IN,Franklin,Libertarian,Gary Johnson,358
IN,Franklin,Republican,Donald J. Trump,8665
IN,Franklin,Constitution,Darrell L Castle,2
IN,Franklin,Green,Jill Stein,15
IN,Franklin,Independent,Ray C Brown,0
IN,Franklin,Independent,Roque De La Fuente,0
IN,Franklin,Independent,Richard Duncan,0
IN,Franklin,Independent,Cherunda Fox,0
IN,Franklin,Independent,Tom Hoefling,0
IN,Franklin,Independent,Denny Carroll Jackson,0
IN,Franklin,Independent,Melissa L Kelly,0
IN,Franklin,Independent,Laurence Kotlikoff,0
IN,Franklin,Independent,Joseph Maldonado,0
IN,Franklin,Independent,G Mullis,0
IN,Franklin,Independent,Matthew Roberts,0
IN,Franklin,Socialist,Emidio Soltysik,0
IN,Fulton,Democratic,Hillary Clinton,1960
IN,Fulton,Libertarian,Gary Johnson,404
IN,Fulton,Republican,Donald J. Trump,6010
IN,Fulton,Constitution,Darrell L Castle,0
IN,Fulton,Green,Jill Stein,0
IN,Fulton,Independent,Ray C Brown,0
IN,Fulton,Independent,Roque De La Fuente,0
IN,Fulton,Independent,Richard Duncan,0
IN,Fulton,Independent,Cherunda Fox,0
IN,Fulton,Independent,Tom Hoefling,0
IN,Fulton,Independent,Denny Carroll Jackson,0
IN,Fulton,Independent,Melissa L Kelly,0
IN,Fulton,Independent,Laurence Kotlikoff,0
IN,Fulton,Independent,Joseph Maldonado,0
IN,Fulton,Independent,G Mullis,0
IN,Fulton,Independent,Matthew Roberts,0
IN,Fulton,Socialist,Emidio Soltysik,0
IN,Gibson,Democratic,Hillary Clinton,3720
IN,Gibson,Libertarian,Gary Johnson,673
IN,Gibson,Republican,Donald J. Trump,11079
IN,Gibson,Constitution,Darrell L Castle,0
IN,Gibson,Green,Jill Stein,9
IN,Gibson,Independent,Ray C Brown,0
IN,Gibson,Independent,Roque De La Fuente,0
IN,Gibson,Independent,Richard Duncan,0
IN,Gibson,Independent,Cherunda Fox,0
IN,Gibson,Independent,Tom Hoefling,0
IN,Gibson,Independent,Denny Carroll Jackson,0
IN,Gibson,Independent,Melissa L Kelly,0
IN,Gibson,Independent,Laurence Kotlikoff,0
IN,Gibson,Independent,Joseph Maldonado,0
IN,Gibson,Independent,G Mullis,0
IN,Gibson,Independent,Matthew Roberts,0
IN,Gibson,Socialist,Emidio Soltysik,0
IN,Grant,Democratic,Hillary Clinton,7029
IN,Grant,Libertarian,Gary Johnson,1201
IN,Grant,Republican,Donald J. Trump,17009
IN,Grant,Constitution,Darrell L Castle,0
IN,Grant,Green,Jill Stein,0
IN,Grant,Independent,Ray C Brown,0
IN,Grant,Independent,Roque De La Fuente,0
IN,Grant,Independent,Richard Duncan,0
IN,Grant,Independent,Cherunda Fox,0
IN,Grant,Independent,Tom Hoefling,0
IN,Grant,Independent,Denny Carroll Jackson,0
IN,Grant,Independent,Melissa L Kelly,0
IN,Grant,Independent,Laurence Kotlikoff,0
IN,Grant,Independent,Joseph Maldonado,0
IN,Grant,Independent,G Mullis,0
IN,Grant,Independent,Matthew Roberts,0
IN,Grant,Socialist,Emidio Soltysik,0
IN,Greene,Democratic,Hillary Clinton,2929
IN,Greene,Libertarian,Gary Johnson,559
IN,Greene,Republican,Donald J. Trump,10277
IN,Greene,Constitution,Darrell L Castle,0
IN,Greene,Green,Jill Stein,0
IN,Greene,Independent,Ray C Brown,0
IN,Greene,Independent,Roque De La Fuente,0
IN,Greene,Independent,Richard Duncan,1
IN,Greene,Independent,Cherunda Fox,0
IN,Greene,Independent,Tom Hoefling,0
IN,Greene,Independent,Denny Carroll Jackson,0
IN,Greene,Independent,Melissa L Kelly,0
IN,Greene,Independent,Laurence Kotlikoff,0
IN,Greene,Independent,Joseph Maldonado,0
IN,Greene,Independent,G Mullis,0
IN,Greene,Independent,Matthew Roberts,0
IN,Greene,Socialist,Emidio Soltysik,0
IN,Hamilton,Democratic,Hillary Clinton,57214
IN,Hamilton,Libertarian,Gary Johnson,9117
IN,Hamilton,Republican,Donald J. Trump,87299
IN,Hamilton,Constitution,Darrell L Castle,0
IN,Hamilton,Green,Jill Stein,0
IN,Hamilton,Independent,Ray C Brown,0
IN,Hamilton,Independent,Roque De La Fuente,0
