state,county,party,candidate,votes
AZ,Apache,,Robert L. Buchanan,0
AZ,Cochise,,Robert L. Buchanan,0
AZ,Coconino,,Robert L. Buchanan,0
AZ,Gila,,Robert L. Buchanan,4
AZ,Graham,,Robert L. Buchanan,0
AZ,Greenlee,,Robert L. Buchanan,0
AZ,La Paz,,Robert L. Buchanan,0
AZ,Maricopa,,Robert L. Buchanan,42
AZ,Mohave,,Robert L. Buchanan,0
AZ,Navajo,,Robert L. Buchanan,1
AZ,Pima,,Robert L. Buchanan,6
AZ,Pinal,,Robert L. Buchanan,0
AZ,Santa Cruz,,Robert L. Buchanan,0
AZ,Yavapai,,Robert L. Buchanan,1
AZ,Yuma,,Robert L. Buchanan,2
AZ,Total,,Robert L. Buchanan,56
AZ,Apache,,Willie Felix Carter,6
AZ,Cochise,,Willie Felix Carter,0
AZ,Coconino,,Willie Felix Carter,1
AZ,Gila,,Willie Felix Carter,0
AZ,Graham,,Willie Felix Carter,0
AZ,Greenlee,,Willie Felix Carter,0
AZ,La Paz,,Willie Felix Carter,0
AZ,Maricopa,,Willie Felix Carter,28
AZ,Mohave,,Willie Felix Carter,0
AZ,Navajo,,Willie Felix Carter,1
AZ,Pima,,Willie Felix Carter,5
AZ,Pinal,,Willie Felix Carter,1
AZ,Santa Cruz,,Willie Felix Carter,0
AZ,Yavapai,,Willie Felix Carter,0
AZ,Yuma,,Willie Felix Carter,0
AZ,Total,,Willie Felix Carter,42
AZ,Apache,,Darrell Castle,34
AZ,Cochise,,Darrell Castle,37
AZ,Coconino,,Darrell Castle,13
AZ,Gila,,Darrell Castle,4
AZ,Graham,,Darrell Castle,14
AZ,Greenlee,,Darrell Castle,1
AZ,La Paz,,Darrell Castle,2
AZ,Maricopa,,Darrell Castle,616
AZ,Mohave,,Darrell Castle,24
AZ,Navajo,,Darrell Castle,24
AZ,Pima,,Darrell Castle,141
AZ,Pinal,,Darrell Castle,75
AZ,Santa Cruz,,Darrell Castle,4
AZ,Yavapai,,Darrell Castle,44
AZ,Yuma,,Darrell Castle,25
AZ,Total,,Darrell Castle,1058
AZ,Apache,DEM,Hillary Clinton,17083
AZ,Cochise,DEM,Hillary Clinton,17450
AZ,Coconino,DEM,Hillary Clinton,32404
AZ,Gila,DEM,Hillary Clinton,7003
AZ,Graham,DEM,Hillary Clinton,3301
AZ,Greenlee,DEM,Hillary Clinton,1092
AZ,La Paz,DEM,Hillary Clinton,1575
AZ,Maricopa,DEM,Hillary Clinton,702907
AZ,Mohave,DEM,Hillary Clinton,17455
AZ,Navajo,DEM,Hillary Clinton,16459
AZ,Pima,DEM,Hillary Clinton,224661
AZ,Pinal,DEM,Hillary Clinton,47892
AZ,Santa Cruz,DEM,Hillary Clinton,11690
AZ,Yavapai,DEM,Hillary Clinton,35590
AZ,Yuma,DEM,Hillary Clinton,24605
AZ,Total,DEM,Hillary Clinton,1161167
AZ,Apache,,Michael Corsetti,0
AZ,Cochise,,Michael Corsetti,0
AZ,Coconino,,Michael Corsetti,0
AZ,Gila,,Michael Corsetti,0
AZ,Graham,,Michael Corsetti,0
AZ,Greenlee,,Michael Corsetti,0
AZ,La Paz,,Michael Corsetti,0
AZ,Maricopa,,Michael Corsetti,3
AZ,Mohave,,Michael Corsetti,0
AZ,Navajo,,Michael Corsetti,0
AZ,Pima,,Michael Corsetti,0
AZ,Pinal,,Michael Corsetti,0
AZ,Santa Cruz,,Michael Corsetti,0
AZ,Yavapai,,Michael Corsetti,0
AZ,Yuma,,Michael Corsetti,0
AZ,Total,,Michael Corsetti,3
AZ,Apache,ADP,Rocky De La Fuente,0
AZ,Cochise,ADP,Rocky De La Fuente,3
AZ,Coconino,ADP,Rocky De La Fuente,2
AZ,Gila,ADP,Rocky De La Fuente,0
AZ,Graham,ADP,Rocky De La Fuente,0
AZ,Greenlee,ADP,Rocky De La Fuente,0
AZ,La Paz,ADP,Rocky De La Fuente,0
AZ,Maricopa,ADP,Rocky De La Fuente,20
AZ,Mohave,ADP,Rocky De La Fuente,0
AZ,Navajo,ADP,Rocky De La Fuente,1
AZ,Pima,ADP,Rocky De La Fuente,3
AZ,Pinal,ADP,Rocky De La Fuente,0
AZ,Santa Cruz,ADP,Rocky De La Fuente,0
AZ,Yavapai,ADP,Rocky De La Fuente,0
AZ,Yuma,ADP,Rocky De La Fuente,0
AZ,Total,ADP,Rocky De La Fuente,29
AZ,Apache,,Cherunda Fox,1
AZ,Cochise,,Cherunda Fox,0
AZ,Coconino,,Cherunda Fox,0
AZ,Gila,,Cherunda Fox,0
AZ,Graham,,Cherunda Fox,0
AZ,Greenlee,,Cherunda Fox,0
AZ,La Paz,,Cherunda Fox,0
AZ,Maricopa,,Cherunda Fox,9
AZ,Mohave,,Cherunda Fox,0
AZ,Navajo,,Cherunda Fox,1
AZ,Pima,,Cherunda Fox,3
AZ,Pinal,,Cherunda Fox,0
AZ,Santa Cruz,,Cherunda Fox,0
AZ,Yavapai,,Cherunda Fox,0
AZ,Yuma,,Cherunda Fox,0
AZ,Total,,Cherunda Fox,14
AZ,Apache,,Ben Hartnell,0
AZ,Cochise,,Ben Hartnell,0
AZ,Coconino,,Ben Hartnell,0
AZ,Gila,,Ben Hartnell,0
AZ,Graham,,Ben Hartnell,0
AZ,Greenlee,,Ben Hartnell,0
AZ,La Paz,,Ben Hartnell,0
AZ,Maricopa,,Ben Hartnell,8
AZ,Mohave,,Ben Hartnell,0
AZ,Navajo,,Ben Hartnell,1
AZ,Pima,,Ben Hartnell,1
AZ,Pinal,,Ben Hartnell,0
AZ,Santa Cruz,,Ben Hartnell,0
AZ,Yavapai,,Ben Hartnell,1
AZ,Yuma,,Ben Hartnell,0
AZ,Total,,Ben Hartnell,11
AZ,Apache,,Tom Hoefling,5
AZ,Cochise,,Tom Hoefling,4
AZ,Coconino,,Tom Hoefling,1
AZ,Gila,,Tom Hoefling,0
AZ,Graham,,Tom Hoefling,2
AZ,Greenlee,,Tom Hoefling,0
AZ,La Paz,,Tom Hoefling,3
AZ,Maricopa,,Tom Hoefling,52
AZ,Mohave,,Tom Hoefling,1
AZ,Navajo,,Tom Hoefling,1
AZ,Pima,,Tom Hoefling,5
AZ,Pinal,,Tom Hoefling,4
AZ,Santa Cruz,,Tom Hoefling,0
AZ,Yavapai,,Tom Hoefling,6
AZ,Yuma,,Tom Hoefling,1
AZ,Total,,Tom Hoefling,85
AZ,Apache,,Mitchell In-Albon,0
AZ,Cochise,,Mitchell In-Albon,0
AZ,Coconino,,Mitchell In-Albon,0
AZ,Gila,,Mitchell In-Albon,0
AZ,Graham,,Mitchell In-Albon,0
AZ,Greenlee,,Mitchell In-Albon,0
AZ,La Paz,,Mitchell In-Albon,0
AZ,Maricopa,,Mitchell In-Albon,17
AZ,Mohave,,Mitchell In-Albon,1
AZ,Navajo,,Mitchell In-Albon,0
AZ,Pima,,Mitchell In-Albon,0
AZ,Pinal,,Mitchell In-Albon,6
AZ,Santa Cruz,,Mitchell In-Albon,0
AZ,Yavapai,,Mitchell In-Albon,0
AZ,Yuma,,Mitchell In-Albon,0
AZ,Total,,Mitchell In-Albon,24
AZ,Apache,LBT,Gary Johnson,1221
AZ,Cochise,LBT,Gary Johnson,2394
AZ,Coconino,LBT,Gary Johnson,2978
AZ,Gila,LBT,Gary Johnson,803
AZ,Graham,LBT,Gary Johnson,497
AZ,Greenlee,LBT,Gary Johnson,200
AZ,La Paz,LBT,Gary Johnson,211
AZ,Maricopa,LBT,Gary Johnson,67043
AZ,Mohave,LBT,Gary Johnson,2639
AZ,Navajo,LBT,Gary Johnson,1410
AZ,Pima,LBT,Gary Johnson,15620
AZ,Pinal,LBT,Gary Johnson,5010
AZ,Santa Cruz,LBT,Gary Johnson,432
AZ,Yavapai,LBT,Gary Johnson,3996
AZ,Yuma,LBT,Gary Johnson,1873
AZ,Total,LBT,Gary Johnson,106327
AZ,Apache,,Laurence Kotlikoff,0
AZ,Cochise,,Laurence Kotlikoff,1
AZ,Coconino,,Laurence Kotlikoff,3
AZ,Gila,,Laurence Kotlikoff,0
AZ,Graham,,Laurence Kotlikoff,0
AZ,Greenlee,,Laurence Kotlikoff,0
AZ,La Paz,,Laurence Kotlikoff,0
AZ,Maricopa,,Laurence Kotlikoff,36
AZ,Mohave,,Laurence Kotlikoff,0
AZ,Navajo,,Laurence Kotlikoff,0
AZ,Pima,,Laurence Kotlikoff,8
AZ,Pinal,,Laurence Kotlikoff,2
AZ,Santa Cruz,,Laurence Kotlikoff,0
AZ,Yavapai,,Laurence Kotlikoff,2
AZ,Yuma,,Laurence Kotlikoff,0
AZ,Total,,Laurence Kotlikoff,52
AZ,Apache,,Joseph Maldonado,1
AZ,Cochise,,Joseph Maldonado,0
AZ,Coconino,,Joseph Maldonado,1
AZ,Gila,,Joseph Maldonado,0
AZ,Graham,,Joseph Maldonado,0
AZ,Greenlee,,Joseph Maldonado,0
AZ,La Paz,,Joseph Maldonado,0
AZ,Maricopa,,Joseph Maldonado,12
AZ,Mohave,,Joseph Maldonado,0
AZ,Navajo,,Joseph Maldonado,1
AZ,Pima,,Joseph Maldonado,2
AZ,Pinal,,Joseph Maldonado,1
AZ,Santa Cruz,,Joseph Maldonado,0
AZ,Yavapai,,Joseph Maldonado,2
AZ,Yuma,,Joseph Maldonado,0
AZ,Total,,Joseph Maldonado,20
AZ,Apache,,Evan McMullin,59
AZ,Cochise,,Evan McMullin,409
AZ,Coconino,,Evan McMullin,514
AZ,Gila,,Evan McMullin,104
AZ,Graham,,Evan McMullin,179
AZ,Greenlee,,Evan McMullin,26
AZ,La Paz,,Evan McMullin,10
AZ,Maricopa,,Evan McMullin,11448
AZ,Mohave,,Evan McMullin,204
AZ,Navajo,,Evan McMullin,472
AZ,Pima,,Evan McMullin,2328
AZ,Pinal,,Evan McMullin,963
AZ,Santa Cruz,,Evan McMullin,43
AZ,Yavapai,,Evan McMullin,596
AZ,Yuma,,Evan McMullin,94
AZ,Total,,Evan McMullin,17449
AZ,Apache,,Marshall Schoenke,0
AZ,Cochise,,Marshall Schoenke,0
AZ,Coconino,,Marshall Schoenke,1
AZ,Gila,,Marshall Schoenke,0
AZ,Graham,,Marshall Schoenke,0
AZ,Greenlee,,Marshall Schoenke,0
AZ,La Paz,,Marshall Schoenke,0
AZ,Maricopa,,Marshall Schoenke,3
AZ,Mohave,,Marshall Schoenke,0
AZ,Navajo,,Marshall Schoenke,0
AZ,Pima,,Marshall Schoenke,0
AZ,Pinal,,Marshall Schoenke,0
AZ,Santa Cruz,,Marshall Schoenke,0
AZ,Yavapai,,Marshall Schoenke,0
AZ,Yuma,,Marshall Schoenke,0
AZ,Total,,Marshall Schoenke,4
AZ,Apache,,Mike Smith,0
AZ,Cochise,,Mike Smith,1
AZ,Coconino,,Mike Smith,0
AZ,Gila,,Mike Smith,0
AZ,Graham,,Mike Smith,0
AZ,Greenlee,,Mike Smith,0
AZ,La Paz,,Mike Smith,0
AZ,Maricopa,,Mike Smith,47
AZ,Mohave,,Mike Smith,0
AZ,Navajo,,Mike Smith,2
AZ,Pima,,Mike Smith,7
AZ,Pinal,,Mike Smith,4
AZ,Santa Cruz,,Mike Smith,0
AZ,Yavapai,,Mike Smith,0
AZ,Yuma,,Mike Smith,1
AZ,Total,,Mike Smith,62
AZ,Apache,GRN,Jill Stein,469
AZ,Cochise,GRN,Jill Stein,993
AZ,Coconino,GRN,Jill Stein,1414
AZ,Gila,GRN,Jill Stein,212
AZ,Graham,GRN,Jill Stein,116
AZ,Greenlee,GRN,Jill Stein,59
AZ,La Paz,GRN,Jill Stein,73
AZ,Maricopa,GRN,Jill Stein,19432
AZ,Mohave,GRN,Jill Stein,740
AZ,Navajo,GRN,Jill Stein,703
AZ,Pima,GRN,Jill Stein,6200
AZ,Pinal,GRN,Jill Stein,1476
AZ,Santa Cruz,GRN,Jill Stein,221
AZ,Yavapai,GRN,Jill Stein,1588
AZ,Yuma,GRN,Jill Stein,649
AZ,Total,GRN,Jill Stein,34345
AZ,Apache,,Delano Steinacker,0
AZ,Cochise,,Delano Steinacker,0
AZ,Coconino,,Delano Steinacker,0
AZ,Gila,,Delano Steinacker,0
AZ,Graham,,Delano Steinacker,0
AZ,Greenlee,,Delano Steinacker,0
AZ,La Paz,,Delano Steinacker,0
AZ,Maricopa,,Delano Steinacker,3
AZ,Mohave,,Delano Steinacker,0
AZ,Navajo,,Delano Steinacker,0
AZ,Pima,,Delano Steinacker,0
AZ,Pinal,,Delano Steinacker,0
AZ,Santa Cruz,,Delano Steinacker,0
AZ,Yavapai,,Delano Steinacker,0
AZ,Yuma,,Delano Steinacker,1
AZ,Total,,Delano Steinacker,4
AZ,Apache,,"Sheila ""Samm"" Tittle",0
AZ,Cochise,,"Sheila ""Samm"" Tittle",0
AZ,Coconino,,"Sheila ""Samm"" Tittle",0
AZ,Gila,,"Sheila ""Samm"" Tittle",0
AZ,Graham,,"Sheila ""Samm"" Tittle",0
AZ,Greenlee,,"Sheila ""Samm"" Tittle",0
AZ,La Paz,,"Sheila ""Samm"" Tittle",0
AZ,Maricopa,,"Sheila ""Samm"" Tittle",11
AZ,Mohave,,"Sheila ""Samm"" Tittle",0
AZ,Navajo,,"Sheila ""Samm"" Tittle",0
AZ,Pima,,"Sheila ""Samm"" Tittle",0
AZ,Pinal,,"Sheila ""Samm"" Tittle",1
AZ,Santa Cruz,,"Sheila ""Samm"" Tittle",0
AZ,Yavapai,,"Sheila ""Samm"" Tittle",0
AZ,Yuma,,"Sheila ""Samm"" Tittle",0
AZ,Total,,"Sheila ""Samm"" Tittle",12
AZ,Apache,REP,Donald J. Trump,8240
AZ,Cochise,REP,Donald J. Trump,28092
AZ,Coconino,REP,Donald J. Trump,21108
AZ,Gila,REP,Donald J. Trump,14182
AZ,Graham,REP,Donald J. Trump,8025
AZ,Greenlee,REP,Donald J. Trump,1892
AZ,La Paz,REP,Donald J. Trump,4003
AZ,Maricopa,REP,Donald J. Trump,747361
AZ,Mohave,REP,Donald J. Trump,58282
AZ,Navajo,REP,Donald J. Trump,20577
AZ,Pima,REP,Donald J. Trump,167428
AZ,Pinal,REP,Donald J. Trump,72819
AZ,Santa Cruz,REP,Donald J. Trump,3897
AZ,Yavapai,REP,Donald J. Trump,71330
AZ,Yuma,REP,Donald J. Trump,25165
AZ,Total,REP,Donald J. Trump,1252401
AL,Total,D,Hillary Clinton,729547
AL,Autauga,D,Hillary Clinton,5936
AL,Baldwin,D,Hillary Clinton,18458
AL,Barbour,D,Hillary Clinton,4871
AL,Bibb,D,Hillary Clinton,1874
AL,Blount,D,Hillary Clinton,2156
AL,Bullock,D,Hillary Clinton,3530
AL,Butler,D,Hillary Clinton,3726
AL,Calhoun,D,Hillary Clinton,13242
AL,Chambers,D,Hillary Clinton,5784
AL,Cherokee,D,Hillary Clinton,1547
AL,Chilton,D,Hillary Clinton,2911
AL,Choctaw,D,Hillary Clinton,3109
AL,Clarke,D,Hillary Clinton,5749
AL,Clay,D,Hillary Clinton,1237
AL,Cleburne,D,Hillary Clinton,684
AL,Coffee,D,Hillary Clinton,4221
AL,Colbert,D,Hillary Clinton,7312
AL,Conecuh,D,Hillary Clinton,3080
AL,Coosa,D,Hillary Clinton,1782
AL,Covington,D,Hillary Clinton,2387
AL,Crenshaw,D,Hillary Clinton,1664
AL,Cullman,D,Hillary Clinton,3798
AL,Dale,D,Hillary Clinton,4413
AL,Dallas,D,Hillary Clinton,12836
AL,DeKalb,D,Hillary Clinton,3622
AL,Elmore,D,Hillary Clinton,8443
AL,Escambia,D,Hillary Clinton,4605
AL,Etowah,D,Hillary Clinton,10442
AL,Fayette,D,Hillary Clinton,1362
AL,Franklin,D,Hillary Clinton,2197
AL,Geneva,D,Hillary Clinton,1525
AL,Greene,D,Hillary Clinton,4013
AL,Hale,D,Hillary Clinton,4775
AL,Henry,D,Hillary Clinton,2292
AL,Houston,D,Hillary Clinton,10664
AL,Jackson,D,Hillary Clinton,3673
AL,Jefferson,D,Hillary Clinton,156873
AL,Lamar,D,Hillary Clinton,1036
AL,Lauderdale,D,Hillary Clinton,9952
AL,Lawrence,D,Hillary Clinton,3627
AL,Lee,D,Hillary Clinton,21230
AL,Limestone,D,Hillary Clinton,9468
AL,Lowndes,D,Hillary Clinton,4883
AL,Macon,D,Hillary Clinton,7566
AL,Madison,D,Hillary Clinton,62822
AL,Marengo,D,Hillary Clinton,5615
AL,Marion,D,Hillary Clinton,1432
AL,Marshall,D,Hillary Clinton,4917
AL,Mobile,D,Hillary Clinton,72186
AL,Monroe,D,Hillary Clinton,4332
AL,Montgomery,D,Hillary Clinton,58916
AL,Morgan,D,Hillary Clinton,11254
AL,Perry,D,Hillary Clinton,3824
AL,Pickens,D,Hillary Clinton,3972
AL,Pike,D,Hillary Clinton,5056
AL,Randolph,D,Hillary Clinton,2291
AL,Russell,D,Hillary Clinton,9579
AL,St Clair,D,Hillary Clinton,5589
AL,Shelby,D,Hillary Clinton,22977
AL,Sumter,D,Hillary Clinton,4746
AL,Talladega,D,Hillary Clinton,12121
AL,Tallapoosa,D,Hillary Clinton,5519
AL,Tuscaloosa,D,Hillary Clinton,31762
AL,Walker,D,Hillary Clinton,4497
AL,Washington,D,Hillary Clinton,2374
AL,Wilcox,D,Hillary Clinton,4339
AL,Winston,D,Hillary Clinton,872
AL,Total,R,Donald J. Trump,1318255
AL,Autauga,R,Donald J. Trump,18172
AL,Baldwin,R,Donald J. Trump,72883
AL,Barbour,R,Donald J. Trump,5454
AL,Bibb,R,Donald J. Trump,6738
AL,Blount,R,Donald J. Trump,22859
AL,Bullock,R,Donald J. Trump,1140
AL,Butler,R,Donald J. Trump,4901
AL,Calhoun,R,Donald J. Trump,32865
AL,Chambers,R,Donald J. Trump,7843
AL,Cherokee,R,Donald J. Trump,8953
AL,Chilton,R,Donald J. Trump,15081
AL,Choctaw,R,Donald J. Trump,4106
AL,Clarke,R,Donald J. Trump,7140
AL,Clay,R,Donald J. Trump,5245
AL,Cleburne,R,Donald J. Trump,5764
AL,Coffee,R,Donald J. Trump,15875
AL,Colbert,R,Donald J. Trump,16746
AL,Conecuh,R,Donald J. Trump,3420
AL,Coosa,R,Donald J. Trump,3381
AL,Covington,R,Donald J. Trump,13267
AL,Crenshaw,R,Donald J. Trump,4513
AL,Cullman,R,Donald J. Trump,32989
AL,Dale,R,Donald J. Trump,13808
AL,Dallas,R,Donald J. Trump,5789
AL,DeKalb,R,Donald J. Trump,21405
AL,Elmore,R,Donald J. Trump,27634
AL,Escambia,R,Donald J. Trump,9935
AL,Etowah,R,Donald J. Trump,32353
AL,Fayette,R,Donald J. Trump,6712
AL,Franklin,R,Donald J. Trump,9466
AL,Geneva,R,Donald J. Trump,9994
AL,Greene,R,Donald J. Trump,838
AL,Hale,R,Donald J. Trump,3173
AL,Henry,R,Donald J. Trump,5632
AL,Houston,R,Donald J. Trump,30728
AL,Jackson,R,Donald J. Trump,16672
AL,Jefferson,R,Donald J. Trump,134768
AL,Lamar,R,Donald J. Trump,5823
AL,Lauderdale,R,Donald J. Trump,27899
AL,Lawrence,R,Donald J. Trump,10833
AL,Lee,R,Donald J. Trump,34617
AL,Limestone,R,Donald J. Trump,29067
AL,Lowndes,R,Donald J. Trump,1751
AL,Macon,R,Donald J. Trump,1431
AL,Madison,R,Donald J. Trump,89520
AL,Marengo,R,Donald J. Trump,5233
AL,Marion,R,Donald J. Trump,11274
AL,Marshall,R,Donald J. Trump,29233
AL,Mobile,R,Donald J. Trump,95116
AL,Monroe,R,Donald J. Trump,5795
AL,Montgomery,R,Donald J. Trump,34003
AL,Morgan,R,Donald J. Trump,37486
AL,Perry,R,Donald J. Trump,1407
AL,Pickens,R,Donald J. Trump,5456
AL,Pike,R,Donald J. Trump,7693
AL,Randolph,R,Donald J. Trump,7705
AL,Russell,R,Donald J. Trump,9210
AL,St Clair,R,Donald J. Trump,31651
AL,Shelby,R,Donald J. Trump,73020
AL,Sumter,R,Donald J. Trump,1581
AL,Talladega,R,Donald J. Trump,20614
AL,Tallapoosa,R,Donald J. Trump,13594
AL,Tuscaloosa,R,Donald J. Trump,47723
AL,Walker,R,Donald J. Trump,24266
AL,Washington,R,Donald J. Trump,6042
AL,Wilcox,R,Donald J. Trump,1742
AL,Winston,R,Donald J. Trump,9228
AL,Total,I,Gary Johnson,44467
AL,Autauga,I,Gary Johnson,546
AL,Baldwin,I,Gary Johnson,2464
AL,Barbour,I,Gary Johnson,93
AL,Bibb,I,Gary Johnson,124
AL,Blount,I,Gary Johnson,338
AL,Bullock,I,Gary Johnson,22
AL,Butler,I,Gary Johnson,65
AL,Calhoun,I,Gary Johnson,1116
AL,Chambers,I,Gary Johnson,168
AL,Cherokee,I,Gary Johnson,147
AL,Chilton,I,Gary Johnson,228
AL,Choctaw,I,Gary Johnson,52
AL,Clarke,I,Gary Johnson,99
AL,Clay,I,Gary Johnson,93
AL,Cleburne,I,Gary Johnson,90
AL,Coffee,I,Gary Johnson,396
AL,Colbert,I,Gary Johnson,511
AL,Conecuh,I,Gary Johnson,51
AL,Coosa,I,Gary Johnson,53
AL,Covington,I,Gary Johnson,183
AL,Crenshaw,I,Gary Johnson,65
AL,Cullman,I,Gary Johnson,687
AL,Dale,I,Gary Johnson,350
AL,Dallas,I,Gary Johnson,96
AL,DeKalb,I,Gary Johnson,458
AL,Elmore,I,Gary Johnson,738
AL,Escambia,I,Gary Johnson,188
AL,Etowah,I,Gary Johnson,835
AL,Fayette,I,Gary Johnson,109
AL,Franklin,I,Gary Johnson,238
AL,Geneva,I,Gary Johnson,149
AL,Greene,I,Gary Johnson,13
AL,Hale,I,Gary Johnson,54
AL,Henry,I,Gary Johnson,91
AL,Houston,I,Gary Johnson,779
AL,Jackson,I,Gary Johnson,393
AL,Jefferson,I,Gary Johnson,6645
AL,Lamar,I,Gary Johnson,62
AL,Lauderdale,I,Gary Johnson,987
AL,Lawrence,I,Gary Johnson,250
AL,Lee,I,Gary Johnson,2030
AL,Limestone,I,Gary Johnson,1055
AL,Lowndes,I,Gary Johnson,32
AL,Macon,I,Gary Johnson,69
AL,Madison,I,Gary Johnson,6621
AL,Marengo,I,Gary Johnson,104
AL,Marion,I,Gary Johnson,181
AL,Marshall,I,Gary Johnson,678
AL,Mobile,I,Gary Johnson,3291
AL,Monroe,I,Gary Johnson,88
AL,Montgomery,I,Gary Johnson,1486
AL,Morgan,I,Gary Johnson,1168
AL,Perry,I,Gary Johnson,23
AL,Pickens,I,Gary Johnson,49
AL,Pike,I,Gary Johnson,257
AL,Randolph,I,Gary Johnson,124
AL,Russell,I,Gary Johnson,281
AL,St Clair,I,Gary Johnson,684
AL,Shelby,I,Gary Johnson,2965
AL,Sumter,I,Gary Johnson,57
AL,Talladega,I,Gary Johnson,411
AL,Tallapoosa,I,Gary Johnson,233
AL,Tuscaloosa,I,Gary Johnson,1873
AL,Walker,I,Gary Johnson,455
AL,Washington,I,Gary Johnson,73
AL,Wilcox,I,Gary Johnson,22
AL,Winston,I,Gary Johnson,131
AL,Total,I,Jill Stein,9391
AL,Autauga,I,Jill Stein,105
AL,Baldwin,I,Jill Stein,456
AL,Barbour,I,Jill Stein,18
AL,Bibb,I,Jill Stein,17
AL,Blount,I,Jill Stein,89
AL,Bullock,I,Jill Stein,10
AL,Butler,I,Jill Stein,13
AL,Calhoun,I,Jill Stein,262
AL,Chambers,I,Jill Stein,44
AL,Cherokee,I,Jill Stein,26
AL,Chilton,I,Jill Stein,52
AL,Choctaw,I,Jill Stein,6
AL,Clarke,I,Jill Stein,17
AL,Clay,I,Jill Stein,16
AL,Cleburne,I,Jill Stein,20
AL,Coffee,I,Jill Stein,104
AL,Colbert,I,Jill Stein,107
AL,Conecuh,I,Jill Stein,10
AL,Coosa,I,Jill Stein,14
AL,Covington,I,Jill Stein,36
AL,Crenshaw,I,Jill Stein,14
AL,Cullman,I,Jill Stein,134
AL,Dale,I,Jill Stein,62
AL,Dallas,I,Jill Stein,24
AL,DeKalb,I,Jill Stein,152
AL,Elmore,I,Jill Stein,112
AL,Escambia,I,Jill Stein,37
AL,Etowah,I,Jill Stein,164
AL,Fayette,I,Jill Stein,24
AL,Franklin,I,Jill Stein,54
AL,Geneva,I,Jill Stein,24
AL,Greene,I,Jill Stein,5
AL,Hale,I,Jill Stein,12
AL,Henry,I,Jill Stein,17
AL,Houston,I,Jill Stein,144
AL,Jackson,I,Jill Stein,90
AL,Jefferson,I,Jill Stein,1554
AL,Lamar,I,Jill Stein,15
AL,Lauderdale,I,Jill Stein,222
AL,Lawrence,I,Jill Stein,31
AL,Lee,I,Jill Stein,364
AL,Limestone,I,Jill Stein,202
AL,Lowndes,I,Jill Stein,11
AL,Macon,I,Jill Stein,49
AL,Madison,I,Jill Stein,1254
AL,Marengo,I,Jill Stein,13
AL,Marion,I,Jill Stein,26
AL,Marshall,I,Jill Stein,158
AL,Mobile,I,Jill Stein,791
AL,Monroe,I,Jill Stein,17
AL,Montgomery,I,Jill Stein,490
AL,Morgan,I,Jill Stein,218
AL,Perry,I,Jill Stein,6
AL,Pickens,I,Jill Stein,19
AL,Pike,I,Jill Stein,48
AL,Randolph,I,Jill Stein,19
AL,Russell,I,Jill Stein,68
AL,St Clair,I,Jill Stein,130
AL,Shelby,I,Jill Stein,480
AL,Sumter,I,Jill Stein,14
AL,Talladega,I,Jill Stein,106
AL,Tallapoosa,I,Jill Stein,52
AL,Tuscaloosa,I,Jill Stein,390
AL,Walker,I,Jill Stein,95
AL,Washington,I,Jill Stein,22
AL,Wilcox,I,Jill Stein,7
AL,Winston,I,Jill Stein,29
AL,Total,,Write-ins,21712
AL,Autauga,,Write-ins,214
AL,Baldwin,,Write-ins,954
AL,Barbour,,Write-ins,33
AL,Bibb,,Write-ins,66
AL,Blount,,Write-ins,146
AL,Bullock,,Write-ins,8
AL,Butler,,Write-ins,27
AL,Calhoun,,Write-ins,379
AL,Chambers,,Write-ins,61
AL,Cherokee,,Write-ins,60
AL,Chilton,,Write-ins,97
AL,Choctaw,,Write-ins,19
AL,Clarke,,Write-ins,26
AL,Clay,,Write-ins,33
AL,Cleburne,,Write-ins,35
AL,Coffee,,Write-ins,171
AL,Colbert,,Write-ins,239
AL,Conecuh,,Write-ins,24
AL,Coosa,,Write-ins,22
AL,Covington,,Write-ins,67
AL,Crenshaw,,Write-ins,11
AL,Cullman,,Write-ins,265
AL,Dale,,Write-ins,116
AL,Dallas,,Write-ins,47
AL,DeKalb,,Write-ins,189
AL,Elmore,,Write-ins,333
AL,Escambia,,Write-ins,80
AL,Etowah,,Write-ins,370
AL,Fayette,,Write-ins,42
AL,Franklin,,Write-ins,85
AL,Geneva,,Write-ins,66
AL,Greene,,Write-ins,11
AL,Hale,,Write-ins,26
AL,Henry,,Write-ins,40
AL,Houston,,Write-ins,324
AL,Jackson,,Write-ins,156
AL,Jefferson,,Write-ins,4351
AL,Lamar,,Write-ins,30
AL,Lauderdale,,Write-ins,465
AL,Lawrence,,Write-ins,88
AL,Lee,,Write-ins,950
AL,Limestone,,Write-ins,502
AL,Lowndes,,Write-ins,7
AL,Macon,,Write-ins,25
AL,Madison,,Write-ins,3172
AL,Marengo,,Write-ins,29
AL,Marion,,Write-ins,71
AL,Marshall,,Write-ins,330
AL,Mobile,,Write-ins,1353
AL,Monroe,,Write-ins,39
AL,Montgomery,,Write-ins,983
AL,Morgan,,Write-ins,518
AL,Perry,,Write-ins,18
AL,Pickens,,Write-ins,46
AL,Pike,,Write-ins,114
AL,Randolph,,Write-ins,48
AL,Russell,,Write-ins,118
AL,St Clair,,Write-ins,346
AL,Shelby,,Write-ins,1812
AL,Sumter,,Write-ins,13
AL,Talladega,,Write-ins,155
AL,Tallapoosa,,Write-ins,88
AL,Tuscaloosa,,Write-ins,952
AL,Walker,,Write-ins,159
